index	name	sample_id	analysis_id	row	Tag_count	Group	Tags/Kb
0	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	1	72822	CDS_Exons	1.92
1	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	2	6566	5'UTR_Exons	0.35
2	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	3	32437	3'UTR_Exons	0.68
3	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	4	88206	Introns	0.06
4	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	5	336	TSS_up_1kb	0.01
5	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	6	990	TSS_up_5kb	0.01
6	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	7	1683	TSS_up_10kb	0.01
7	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	8	956	TES_down_1kb	0.03
8	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	9	2623	TES_down_5kb	0.02
9	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	10	3636	TES_down_10kb	0.02
10	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	1	68799	CDS_Exons	1.82
11	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	3	31649	3'UTR_Exons	0.66
12	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	5	340	TSS_up_1kb	0.01
13	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	7	1676	TSS_up_10kb	0.01
14	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	9	3292	TES_down_5kb	0.03
15	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	2	6666	5'UTR_Exons	0.36
16	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	4	90168	Introns	0.06
17	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	6	1002	TSS_up_5kb	0.01
18	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	8	1479	TES_down_1kb	0.05
19	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	10	4334	TES_down_10kb	0.02
20	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	1	67637	CDS_Exons	1.78
21	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	2	7106	5'UTR_Exons	0.38
22	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	3	31008	3'UTR_Exons	0.65
23	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	4	89041	Introns	0.06
24	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	5	307	TSS_up_1kb	0.01
25	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	6	1012	TSS_up_5kb	0.01
26	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	7	1762	TSS_up_10kb	0.01
27	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	8	1517	TES_down_1kb	0.05
28	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	9	3554	TES_down_5kb	0.03
29	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	10	4573	TES_down_10kb	0.02
30	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	2	6701	5'UTR_Exons	0.36
31	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	4	90562	Introns	0.06
32	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	6	1067	TSS_up_5kb	0.01
33	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	8	1338	TES_down_1kb	0.05
34	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	10	4442	TES_down_10kb	0.02
35	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	1	68838	CDS_Exons	1.82
36	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	3	31206	3'UTR_Exons	0.65
37	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	5	334	TSS_up_1kb	0.01
38	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	7	1852	TSS_up_10kb	0.01
39	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	9	3356	TES_down_5kb	0.03
40	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	1	65845	CDS_Exons	1.74
41	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	2	5782	5'UTR_Exons	0.31
42	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	3	31810	3'UTR_Exons	0.67
43	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	4	95064	Introns	0.07
44	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	5	338	TSS_up_1kb	0.01
45	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	6	1041	TSS_up_5kb	0.01
46	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	7	1834	TSS_up_10kb	0.01
47	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	8	1515	TES_down_1kb	0.05
48	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	9	3404	TES_down_5kb	0.03
49	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	10	4417	TES_down_10kb	0.02
50	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	1	67534	CDS_Exons	1.78
51	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	3	31012	3'UTR_Exons	0.65
52	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	5	271	TSS_up_1kb	0.01
53	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	7	1875	TSS_up_10kb	0.01
54	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	9	3757	TES_down_5kb	0.03
55	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	2	6552	5'UTR_Exons	0.35
56	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	4	90998	Introns	0.06
57	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	6	1014	TSS_up_5kb	0.01
58	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	8	1501	TES_down_1kb	0.05
59	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	10	4776	TES_down_10kb	0.02
60	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	2	5942	5'UTR_Exons	0.32
61	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	4	94064	Introns	0.07
62	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	6	1009	TSS_up_5kb	0.01
63	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	8	1743	TES_down_1kb	0.06
64	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	10	4876	TES_down_10kb	0.02
65	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	1	64674	CDS_Exons	1.71
66	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	3	31274	3'UTR_Exons	0.66
67	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	5	277	TSS_up_1kb	0.01
68	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	7	1735	TSS_up_10kb	0.01
69	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	9	3765	TES_down_5kb	0.03
70	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	1	79118	CDS_Exons	2.09
71	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	2	11138	5'UTR_Exons	0.6
72	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	3	29101	3'UTR_Exons	0.61
73	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	4	77101	Introns	0.05
74	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	5	438	TSS_up_1kb	0.02
75	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	6	1177	TSS_up_5kb	0.01
76	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	7	1864	TSS_up_10kb	0.01
77	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	8	776	TES_down_1kb	0.03
78	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	9	2458	TES_down_5kb	0.02
79	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	10	3496	TES_down_10kb	0.02
80	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	1	71621	CDS_Exons	1.89
81	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	2	6200	5'UTR_Exons	0.33
82	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	3	32311	3'UTR_Exons	0.68
83	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	4	89948	Introns	0.06
84	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	5	317	TSS_up_1kb	0.01
85	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	6	1067	TSS_up_5kb	0.01
86	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	7	1799	TSS_up_10kb	0.01
87	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	8	1163	TES_down_1kb	0.04
88	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	9	2875	TES_down_5kb	0.02
89	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	10	3937	TES_down_10kb	0.02
90	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	1	71277	CDS_Exons	1.88
91	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	2	6501	5'UTR_Exons	0.35
92	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	3	31285	3'UTR_Exons	0.66
93	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	4	90091	Introns	0.06
94	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	5	324	TSS_up_1kb	0.01
95	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	6	1035	TSS_up_5kb	0.01
96	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	7	1773	TSS_up_10kb	0.01
97	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	8	1408	TES_down_1kb	0.05
98	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	9	3133	TES_down_5kb	0.03
99	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	10	4208	TES_down_10kb	0.02
100	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	1	68527	CDS_Exons	1.81
101	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	3	32519	3'UTR_Exons	0.68
102	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	5	314	TSS_up_1kb	0.01
103	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	7	1789	TSS_up_10kb	0.01
104	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	9	2806	TES_down_5kb	0.02
105	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	2	5797	5'UTR_Exons	0.31
106	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	4	93789	Introns	0.07
107	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	6	1007	TSS_up_5kb	0.01
108	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	8	1115	TES_down_1kb	0.04
109	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	10	3848	TES_down_10kb	0.02
110	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	1	68589	CDS_Exons	1.81
111	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	2	5729	5'UTR_Exons	0.31
112	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	3	32633	3'UTR_Exons	0.68
113	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	4	93298	Introns	0.06
114	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	5	304	TSS_up_1kb	0.01
115	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	6	1008	TSS_up_5kb	0.01
116	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	7	1797	TSS_up_10kb	0.01
117	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	8	1225	TES_down_1kb	0.04
118	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	9	2896	TES_down_5kb	0.02
119	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	10	3823	TES_down_10kb	0.02
120	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	1	70009	CDS_Exons	1.85
121	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	2	5930	5'UTR_Exons	0.32
122	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	3	32357	3'UTR_Exons	0.68
123	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	4	92805	Introns	0.06
124	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	5	324	TSS_up_1kb	0.01
125	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	6	1049	TSS_up_5kb	0.01
126	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	7	1806	TSS_up_10kb	0.01
127	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	8	1295	TES_down_1kb	0.05
128	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	9	2866	TES_down_5kb	0.02
129	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	10	3880	TES_down_10kb	0.02
130	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	1	70590	CDS_Exons	1.86
131	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	3	32492	3'UTR_Exons	0.68
132	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	5	303	TSS_up_1kb	0.01
133	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	7	1810	TSS_up_10kb	0.01
134	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	9	2931	TES_down_5kb	0.02
135	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	2	5958	5'UTR_Exons	0.32
136	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	4	91385	Introns	0.06
137	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	6	978	TSS_up_5kb	0.01
138	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	8	1267	TES_down_1kb	0.05
139	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	10	3969	TES_down_10kb	0.02
140	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	1	69243	CDS_Exons	1.83
141	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	2	5821	5'UTR_Exons	0.31
142	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	3	32314	3'UTR_Exons	0.68
143	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	4	92754	Introns	0.06
144	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	5	320	TSS_up_1kb	0.01
145	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	6	1033	TSS_up_5kb	0.01
146	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	7	1805	TSS_up_10kb	0.01
147	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	8	1271	TES_down_1kb	0.05
148	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	9	3044	TES_down_5kb	0.03
149	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	10	4136	TES_down_10kb	0.02
150	TS418L	85e1e1c7dde74464aaf43ca0b0107dbe	dc1a4e95f352400ca00df3a69ad3ea84	2	6498	5'UTR_Exons	0.35
151	TS418L	85e1e1c7dde74464aaf43ca0b0107dbe	dc1a4e95f352400ca00df3a69ad3ea84	4	90425	Introns	0.06
152	TS418L	85e1e1c7dde74464aaf43ca0b0107dbe	dc1a4e95f352400ca00df3a69ad3ea84	6	1045	TSS_up_5kb	0.01
153	TS418L	85e1e1c7dde74464aaf43ca0b0107dbe	dc1a4e95f352400ca00df3a69ad3ea84	8	1530	TES_down_1kb	0.06
154	TS418L	85e1e1c7dde74464aaf43ca0b0107dbe	dc1a4e95f352400ca00df3a69ad3ea84	10	4362	TES_down_10kb	0.02
155	TS418L	85e1e1c7dde74464aaf43ca0b0107dbe	dc1a4e95f352400ca00df3a69ad3ea84	1	71511	CDS_Exons	1.89
